Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	56.19011513783291	32.10277803045059	0.0	0.0	false	null
line	+	56.19011513783291	32.10277803045059	0.0	0.0	false	
line	+	56.18713070087455	32.10165573994776	0.0	0.0	false	
line	+	56.184810067962566	32.1019373963277	0.0	0.0	false	
line	+	56.183484554733006	32.10334207936559	0.0	0.0	false	
line	+	56.18249067535625	32.10502749063068	0.0	0.0	false	
line	+	56.180833405950885	32.106151403939144	0.0	0.0	false	
line	+	56.17884419462855	32.106432848859654	0.0	0.0	false	
line	+	56.17685486290721	32.10643341460915	0.0	0.0	false	
line	+	56.17453407686552	32.10671488332484	0.0	0.0	false	
line	+	56.172213182660364	32.106715461619785	0.0	0.0	false	
line	+	56.17022366928549	32.10615422748621	0.0	0.0	false	
line	+	56.16823393555982	32.10475041807737	0.0	0.0	false	
line	+	56.16790190288382	32.10306539858625	0.0	0.0	false	
line	+	56.1682329563675	32.101380241543346	0.0	0.0	false	
line	+	56.16922697464437	32.09941409371882	0.0	0.0	false	
line	+	56.168563419419115	32.097729147274556	0.0	0.0	false	
line	+	56.16657427730762	32.097729552078164	0.0	0.0	false	
line	+	56.164253542147996	32.09744913693853	0.0	0.0	false	
line	+	56.16193282124638	32.09716867941242	0.0	0.0	false	
line	+	56.15994363523955	32.096888132360235	0.0	0.0	false	
line	+	56.15795436152818	32.09604585804755	0.0	0.0	false	
line	+	56.15629654931269	32.094641818837815	0.0	0.0	false	
line	+	56.15629619042202	32.09239503432061	0.0	0.0	false	
line	+	56.156295876420955	32.09042909784572	0.0	0.0	false	
line	+	56.15695858944012	32.08874393158363	0.0	0.0	false	
line	+	56.15728974515281	32.08677795485508	0.0	0.0	false	
line	+	56.157289361921165	32.08453117024203	0.0	0.0	false	
line	+	56.15695760485503	32.0828461219757	0.0	0.0	false	
line	+	56.15596288911436	32.080880300841294	0.0	0.0	false	
line	+	56.15463676079435	32.07891450605202	0.0	0.0	false	
line	+	56.15430503436566	32.07694860270632	0.0	0.0	false	
line	+	56.15364191776072	32.07526357812766	0.0	0.0	false	
line	+	56.151653203685946	32.07470205314681	0.0	0.0	false	
line	+	56.14966456295625	32.074702193230266	0.0	0.0	false	
line	+	56.14767592222155	32.07470230218406	0.0	0.0	false	
line	+	56.14568729370826	32.074983228107214	0.0	0.0	false	
line	+	56.1443615698914	32.07638750318358	0.0	0.0	false	
line	+	56.144030166447465	32.07807259823732	0.0	0.0	false	
line	+	56.14204145642538	32.07919601136015	0.0	0.0	false	
line	+	56.140052712778356	32.07947684907393	0.0	0.0	false	
line	+	56.13806396811341	32.0794768075652	0.0	0.0	false	
line	+	56.136075223450746	32.07947673492495	0.0	0.0	false	
line	+	56.13408654909887	32.07863408688124	0.0	0.0	false	
line	+	56.13209791143063	32.07779140770429	0.0	0.0	false	
line	+	56.13010923912466	32.07751039358084	0.0	0.0	false	
line	+	56.128120495504064	32.077791044510754	0.0	0.0	false	
line	+	56.126131739664814	32.07807166430778	0.0	0.0	false	
line	+	56.12447421302915	32.079475690721296	0.0	0.0	false	
line	+	56.12381096800048	32.08116068756445	0.0	0.0	false	
line	+	56.12381058278818	32.083126624135	0.0	0.0	false	
line	+	56.12149010150888	32.08396882028456	0.0	0.0	false	
line	+	56.11950125908393	32.08396848819593	0.0	0.0	false	
line	+	56.11751241667294	32.08396812497398	0.0	0.0	false	
line	+	56.11585465052446	32.08537203886821	0.0	0.0	false	
line	+	56.11485971868426	32.087056921020384	0.0	0.0	false	
line	+	56.11519055124673	32.08930377516907	0.0	0.0	false	
line	+	56.11518998036315	32.09126971160807	0.0	0.0	false	
line	+	56.11485798464621	32.09295473034198	0.0	0.0	false	
